代號,名稱,現金股利,當下合計殖利率,未來除息日,未來股利發放日,即將發放,平均填息天數
7749,意騰-KY,9.0,2.23,2026/07/16 -已發放,2026/08/12 -即將發放,即將發放,-
2449,京元電子,1.0,0.32,2026/07/28 -即將發放,2026/08/20 -即將發放,即將發放,5
2345,智邦,15.0,0.61,2026/07/30 -即將發放,2026/08/27 -即將發放,即將發放,1
6510,精測,15.23,0.54,2026/07/09 -已發放,2026/08/05 -即將發放,即將發放,1
3661,世芯-KY,34.17,0.81,待公告,待公告,待公告,1
2881,富邦金,4.25,3.28,2026/07/01 -已發放,2026/07/31 -即將發放,即將發放,16.5
2882,國泰金,3.5,3.45,2026/06/30 -已發放,2026/07/28 -即將發放,即將發放,110
2891,中信金,2.5,3.58,2026/07/10 -已發放,2026/08/07 -即將發放,即將發放,92
2884,玉山金,1.4,4.06,2026/07/01 -已發放,2026/07/27 -即將發放,即將發放,10.5
3711,日月光投控,6.585,0.91,2026/07/03 -已發放,2026/07/31 -即將發放,即將發放,2
2408,南亞科,1.347,0.32,2026/07/07 -已發放,2026/08/06 -即將發放,即將發放,1
2360,致茂,19.5,0.84,2026/06/17 -已發放,2026/07/15 -已發放,已發放,2.5
3653,健策,21.72,0.68,2026/07/22 -即將發放,2026/08/18 -即將發放,即將發放,1
3665,貿聯-KY,15.18,0.81,2026/07/15 -已發放,2026/08/18 -即將發放,即將發放,1
0000,台灣加權指數,,,無,無,無,
2344,華邦電,0.5,1.04,待公告,待公告,待公告,2
2337,旺宏,0.0,0,無,無,無,-
3443,創意,20.0,0.45,2026/06/08 -已發放,2026/06/30 -已發放,已發放,1.5
0050,元大台灣50,1.6,1.96,2026/07/21 (26H1) -即將發放,2026/08/10 (26H1) -即將發放,即將發放 (26H1),4
0052,富邦科技,1.199,2.4,2026/04/20 -已發放,2026/05/15 -已發放,已發放,2
2851,中再保,2.2,5.92,2026/06/29 -已發放,2026/07/20 -即將發放,即將發放,48
